Day,Bond A Price,Bond B Price,Bond C Price,Interest Rate,Inflation Rate,GDP Growth,Risk Tolerance,Investment Horizon,Client Goal,Predicted Return A,Predicted Return B,Predicted Return C,Volatility A,Volatility B,Volatility C
0,100.0,100.0,100.0,1.7635440378859548,1.7548577432357033,2.7756662030994868,Low,Long,Preservation,0.002787712148414689,-0.00023927588962509896,0.0018635776487056274,0.007719223458039248,0.007619808452910331,0.017433420805278026
1,101.5769543113639,100.37860991643566,98.19976160677491,2.079541906873173,1.6657412211046987,2.4305596795055706,Medium,Medium,Preservation,0.0030512841269085865,0.0007599570491819134,0.0026350271034247786,0.010294738794455806,0.007962705736716964,0.0055531749352170316
2,100.91533001678957,100.78007106360931,98.77738998680532,1.7302153933952031,1.5956501573952118,2.5316693830796835,Medium,Long,Preservation,0.00203899880691009,0.0011066557561483679,0.0002283903658315322,0.008252447971471495,0.004673663310579536,0.011482996613568934
3,102.0989509190625,102.16619025017833,99.8211916372764,2.3016139640821343,1.3306755557984324,2.36670338346592,High,Short,Preservation,0.0007008334992884388,5.8242772448468784e-05,0.003203583357034182,0.006911369462189671,0.007597469674931205,0.010191168535650122
4,102.32790732028572,103.29538803460876,98.36192810619606,1.944018695581182,1.3703748988481277,2.803584158586455,Low,Medium,Income,0.0014045242783339957,-0.0005140698213452104,-0.00022288555789158745,0.013671219011724646,0.007628881473169579,0.016391983965501043
5,103.87593092082095,103.54041942237062,98.43765368651727,1.9317518385532277,1.5261553233913117,2.2626279619932053,Low,Medium,Growth,-0.0016130662998326993,0.00423612008951947,-0.002030425474507338,0.013375155840736274,0.008402467185967537,0.010762079214210704
6,105.82717280175218,103.9130231048663,96.6562515693795,1.6929523292974515,1.2395957147918106,2.3297028161261295,High,Medium,Preservation,-0.0015439765402287518,0.000575721688517073,-0.0019848177300479815,0.0067383335188617045,0.008948961783107163,0.013622665379782146
7,106.78550557584653,103.4908437088337,97.09737525545191,2.286956084690221,1.264199629994537,2.545920057887484,Medium,Long,Growth,-0.00013065539838529614,0.0014212429295393798,-0.0003434636662980221,0.015454537068840736,0.006540255963614949,0.021723375861448267
8,105.68308001489027,101.90292138502522,97.75149567403638,2.2842171702088487,1.1248587393814227,2.239151257179662,High,Long,Income,-0.0005227716977547886,0.001238808707621427,0.00035115810483209164,0.009918855391878284,0.006788457171531408,0.020228439572872826
9,104.13132335215154,99.69725316712089,100.11266875625017,1.9026756559611344,1.3803231489196097,2.9784225448802153,High,Short,Income,0.0028721858438701775,-0.002206541730069281,-0.000897133390609863,0.00757254288187052,0.008001188964624735,0.006365750532516687
10,104.11576252255284,99.6340683451078,101.59944812591282,2.061134749653177,1.2531639838505153,2.426149783954957,High,Short,Growth,-0.0012345733012786493,-0.0057173159944201805,0.002672567710538831,0.011513751935440278,0.007122195671898054,0.01144097411438341
11,102.74373495296126,98.37244719383874,99.92577908658927,1.9688417142841255,1.3722562881269167,2.3399020835328237,Medium,Medium,Income,-0.0027433141276640032,-0.0022651642642398944,-0.00036012926222487587,0.012029693542213463,0.009507145074123018,0.014592568387402024
12,104.52586835497203,97.19960738429569,102.81732898057145,2.1871211217571798,1.3906725068670003,2.416888548522886,Medium,Long,Growth,-0.0008377051703040612,-0.0021375760228980745,-0.0008146673925451831,0.012903911241851043,0.006842637956703762,0.016159565135607172
13,104.41950142660662,97.4446902073358,103.27146538045443,2.2825574067098104,1.7251559678587696,2.8976728258454707,Low,Long,Growth,-0.0026184883226010786,-0.0004867549443013472,9.428535046765939e-05,0.0047611617703944,0.008239460694682569,0.01579083447884139
14,103.01469411406615,97.98071148312023,102.69944777469885,1.8375155544489452,1.5635115217985545,2.6488611389330683,Medium,Long,Income,-9.080879949644122e-05,-0.005429922195751494,0.0014412353975389795,0.007948198645900838,0.008220775399651256,0.014350140966083497
15,104.30380689183,97.17702516900899,103.92574059455616,1.9399853965794842,1.4922209101360062,3.0,Low,Long,Preservation,0.001558868703159707,-0.00047322195309698454,-0.0014797772092566214,0.007398152671826018,0.009233264862334124,0.015257849580994742
16,103.70693707023395,97.43131085001585,102.68151579612203,2.104843866744682,1.21406459473584,2.2091525000298793,High,Short,Preservation,-0.0012550654017827777,-0.0014000460609743233,-0.002974766834889883,0.012168978680944917,0.007906635121700496,0.010744639180403128
17,103.61469256106261,96.39370707110106,102.95085208978725,2.053464332068396,1.2019702493639683,2.691333345472954,Low,Medium,Preservation,0.0001264436910407853,-0.0030370471677746143,0.0004940475548519112,0.013060163108563637,0.006995119428034905,0.011760276901477717
18,102.41948409179521,96.25430472734548,103.8946426422043,2.004873880943651,2.0,2.0,Medium,Short,Preservation,2.3231980249166636e-05,-0.0012895980154536085,0.0015497141849923953,0.013594144877671546,0.009425917572637258,0.010205105054674708
19,102.07679524425733,96.85392583552432,101.5848505784919,1.9756428539050497,1.64829159398575,2.5090176101194377,High,Long,Growth,0.002730297924424153,-0.0015305109657888418,-0.0009540609522862427,0.003300438432859076,0.007248231551806303,0.019322076026026105
20,101.91456641014408,97.59995420599093,101.44450413160347,1.9208677712027262,1.6868688391398718,2.8598885768149267,High,Long,Growth,7.2223639275612e-05,0.002970750640097678,0.0050759932601830895,0.01134830815098708,0.009988874866244883,0.02247593121885142
