Client_ID,Current_Stock_Allocation,Current_Bond_Allocation,Current_Commodity_Allocation,Risk_Tolerance,Investment_Horizon,Stock_Price_Index,Bond_Price_Index,Commodity_Price_Index,Stock_Volatility,Bond_Yield,GDP_Growth,Inflation_Rate,Commodity_Price_Volatility
1,0.79,0.3,0.05,Medium,10,4100,105,85,0.18,1.3,3.2,3,0.21
2,0.69,0.54,0.22,Low,7,4100,105,85,0.18,1.3,3.2,3,0.21
3,0.48,0.22,0.11,High,8,4100,105,85,0.18,1.3,3.2,3,0.21
4,0.74,0.24,0.06,High,14,4100,105,85,0.18,1.3,3.2,3,0.21
5,0.45,0.13,0.15,Medium,25,4100,105,85,0.18,1.3,3.2,3,0.21
6,0.51,0.5,0.28,Low,13,4100,105,85,0.18,1.3,3.2,3,0.21
7,0.49,0.31,0.05,Low,10,4100,105,85,0.18,1.3,3.2,3,0.21
8,0.47,0.21,0.2,High,24,4100,105,85,0.18,1.3,3.2,3,0.21
9,0.67,0.22,0.18,Low,15,4100,105,85,0.18,1.3,3.2,3,0.21
10,0.52,0.55,0.27,Medium,11,4100,105,85,0.18,1.3,3.2,3,0.21
11,0.39,0.52,0.07,Medium,22,4100,105,85,0.18,1.3,3.2,3,0.21
12,0.35,0.38,0.22,Medium,8,4100,105,85,0.18,1.3,3.2,3,0.21
13,0.22,0.41,0.22,Medium,9,4100,105,85,0.18,1.3,3.2,3,0.21
14,0.55,0.34,0.22,Medium,8,4100,105,85,0.18,1.3,3.2,3,0.21
15,0.34,0.3,0.29,High,8,4100,105,85,0.18,1.3,3.2,3,0.21
16,0.29,0.56,0.26,Medium,17,4100,105,85,0.18,1.3,3.2,3,0.21
17,0.59,0.16,0.06,Medium,20,4100,105,85,0.18,1.3,3.2,3,0.21
18,0.61,0.31,0.17,High,29,4100,105,85,0.18,1.3,3.2,3,0.21
19,0.65,0.27,0.15,High,18,4100,105,85,0.18,1.3,3.2,3,0.21
20,0.5,0.35,0.13,High,15,4100,105,85,0.18,1.3,3.2,3,0.21
21,0.74,0.33,0.16,Low,6,4100,105,85,0.18,1.3,3.2,3,0.21
22,0.76,0.36,0.15,Low,26,4100,105,85,0.18,1.3,3.2,3,0.21
23,0.68,0.17,0.16,Medium,18,4100,105,85,0.18,1.3,3.2,3,0.21
24,0.58,0.36,0.29,Medium,28,4100,105,85,0.18,1.3,3.2,3,0.21
25,0.38,0.22,0.07,Medium,28,4100,105,85,0.18,1.3,3.2,3,0.21
26,0.79,0.19,0.28,Low,11,4100,105,85,0.18,1.3,3.2,3,0.21
27,0.36,0.13,0.17,Medium,15,4100,105,85,0.18,1.3,3.2,3,0.21
28,0.32,0.48,0.21,Medium,8,4100,105,85,0.18,1.3,3.2,3,0.21
29,0.47,0.31,0.26,Low,11,4100,105,85,0.18,1.3,3.2,3,0.21
30,0.23,0.41,0.14,High,20,4100,105,85,0.18,1.3,3.2,3,0.21
31,0.79,0.46,0.16,Low,10,4100,105,85,0.18,1.3,3.2,3,0.21
32,0.55,0.44,0.15,Medium,10,4100,105,85,0.18,1.3,3.2,3,0.21
33,0.53,0.34,0.14,Low,6,4100,105,85,0.18,1.3,3.2,3,0.21
34,0.59,0.29,0.28,High,28,4100,105,85,0.18,1.3,3.2,3,0.21
35,0.5,0.29,0.26,High,12,4100,105,85,0.18,1.3,3.2,3,0.21
36,0.22,0.42,0.08,High,11,4100,105,85,0.18,1.3,3.2,3,0.21
37,0.57,0.35,0.08,High,29,4100,105,85,0.18,1.3,3.2,3,0.21
38,0.63,0.52,0.16,High,28,4100,105,85,0.18,1.3,3.2,3,0.21
39,0.45,0.54,0.07,High,18,4100,105,85,0.18,1.3,3.2,3,0.21
40,0.65,0.19,0.2,Medium,13,4100,105,85,0.18,1.3,3.2,3,0.21
41,0.34,0.17,0.09,Medium,19,4100,105,85,0.18,1.3,3.2,3,0.21
42,0.33,0.42,0.18,Low,29,4100,105,85,0.18,1.3,3.2,3,0.21
43,0.3,0.25,0.05,Medium,26,4100,105,85,0.18,1.3,3.2,3,0.21
44,0.42,0.11,0.13,High,22,4100,105,85,0.18,1.3,3.2,3,0.21
45,0.71,0.54,0.22,Medium,16,4100,105,85,0.18,1.3,3.2,3,0.21
46,0.7,0.21,0.17,Low,27,4100,105,85,0.18,1.3,3.2,3,0.21
47,0.43,0.56,0.29,High,23,4100,105,85,0.18,1.3,3.2,3,0.21
48,0.55,0.46,0.27,Medium,17,4100,105,85,0.18,1.3,3.2,3,0.21
49,0.63,0.48,0.14,Medium,11,4100,105,85,0.18,1.3,3.2,3,0.21
50,0.34,0.2,0.06,Low,29,4100,105,85,0.18,1.3,3.2,3,0.21
51,0.3,0.22,0.26,High,14,4100,105,85,0.18,1.3,3.2,3,0.21
52,0.78,0.36,0.28,Low,14,4100,105,85,0.18,1.3,3.2,3,0.21
53,0.57,0.19,0.26,High,6,4100,105,85,0.18,1.3,3.2,3,0.21
54,0.79,0.25,0.08,High,18,4100,105,85,0.18,1.3,3.2,3,0.21
55,0.4,0.26,0.3,Medium,17,4100,105,85,0.18,1.3,3.2,3,0.21
56,0.62,0.18,0.11,Low,26,4100,105,85,0.18,1.3,3.2,3,0.21
57,0.33,0.2,0.23,Low,10,4100,105,85,0.18,1.3,3.2,3,0.21
58,0.36,0.49,0.28,Low,13,4100,105,85,0.18,1.3,3.2,3,0.21
59,0.51,0.18,0.11,High,17,4100,105,85,0.18,1.3,3.2,3,0.21
60,0.39,0.11,0.28,Low,13,4100,105,85,0.18,1.3,3.2,3,0.21
61,0.3,0.41,0.13,High,17,4100,105,85,0.18,1.3,3.2,3,0.21
62,0.36,0.59,0.29,Low,9,4100,105,85,0.18,1.3,3.2,3,0.21
63,0.22,0.27,0.12,Low,18,4100,105,85,0.18,1.3,3.2,3,0.21
64,0.62,0.16,0.29,Medium,9,4100,105,85,0.18,1.3,3.2,3,0.21
65,0.5,0.39,0.06,Low,13,4100,105,85,0.18,1.3,3.2,3,0.21
66,0.26,0.55,0.23,Medium,12,4100,105,85,0.18,1.3,3.2,3,0.21
67,0.3,0.49,0.18,Medium,11,4100,105,85,0.18,1.3,3.2,3,0.21
68,0.26,0.41,0.17,High,12,4100,105,85,0.18,1.3,3.2,3,0.21
69,0.57,0.26,0.11,Low,26,4100,105,85,0.18,1.3,3.2,3,0.21
70,0.26,0.37,0.23,Low,7,4100,105,85,0.18,1.3,3.2,3,0.21
71,0.65,0.15,0.1,Low,27,4100,105,85,0.18,1.3,3.2,3,0.21
72,0.21,0.44,0.19,Medium,28,4100,105,85,0.18,1.3,3.2,3,0.21
73,0.35,0.46,0.11,Low,19,4100,105,85,0.18,1.3,3.2,3,0.21
74,0.73,0.58,0.29,High,12,4100,105,85,0.18,1.3,3.2,3,0.21
75,0.63,0.23,0.06,High,5,4100,105,85,0.18,1.3,3.2,3,0.21
76,0.24,0.11,0.1,Low,11,4100,105,85,0.18,1.3,3.2,3,0.21
77,0.69,0.37,0.11,Medium,23,4100,105,85,0.18,1.3,3.2,3,0.21
78,0.5,0.45,0.15,High,6,4100,105,85,0.18,1.3,3.2,3,0.21
79,0.71,0.5,0.11,High,18,4100,105,85,0.18,1.3,3.2,3,0.21
80,0.56,0.2,0.17,Medium,22,4100,105,85,0.18,1.3,3.2,3,0.21
81,0.61,0.23,0.27,High,19,4100,105,85,0.18,1.3,3.2,3,0.21
82,0.8,0.36,0.23,Medium,18,4100,105,85,0.18,1.3,3.2,3,0.21
83,0.34,0.27,0.19,High,28,4100,105,85,0.18,1.3,3.2,3,0.21
84,0.57,0.53,0.07,Medium,29,4100,105,85,0.18,1.3,3.2,3,0.21
85,0.48,0.34,0.22,High,23,4100,105,85,0.18,1.3,3.2,3,0.21
86,0.22,0.5,0.09,Low,23,4100,105,85,0.18,1.3,3.2,3,0.21
87,0.21,0.39,0.25,High,26,4100,105,85,0.18,1.3,3.2,3,0.21
88,0.27,0.49,0.11,High,21,4100,105,85,0.18,1.3,3.2,3,0.21
89,0.59,0.27,0.15,Low,26,4100,105,85,0.18,1.3,3.2,3,0.21
90,0.54,0.52,0.14,Low,23,4100,105,85,0.18,1.3,3.2,3,0.21
91,0.53,0.24,0.26,Low,20,4100,105,85,0.18,1.3,3.2,3,0.21
92,0.22,0.37,0.08,Low,24,4100,105,85,0.18,1.3,3.2,3,0.21
93,0.48,0.21,0.19,Medium,29,4100,105,85,0.18,1.3,3.2,3,0.21
94,0.75,0.34,0.09,Medium,23,4100,105,85,0.18,1.3,3.2,3,0.21
95,0.44,0.26,0.23,High,5,4100,105,85,0.18,1.3,3.2,3,0.21
96,0.57,0.23,0.28,High,23,4100,105,85,0.18,1.3,3.2,3,0.21
97,0.67,0.58,0.16,High,11,4100,105,85,0.18,1.3,3.2,3,0.21
98,0.67,0.18,0.17,Medium,27,4100,105,85,0.18,1.3,3.2,3,0.21
99,0.51,0.49,0.28,High,15,4100,105,85,0.18,1.3,3.2,3,0.21
100,0.71,0.59,0.18,High,9,4100,105,85,0.18,1.3,3.2,3,0.21
